Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-base,1000,13,11,13,14,16,6,2429,"0,000%","73,76263","94,48","0,00"
P1-ws,1000,53,50,59,63,75,35,3130,"0,000%","18,64280","23,99","0,00"
P1-ejb,1000,29,25,32,35,43,14,3946,"0,000%","33,41129","43,75","0,00"
Total,3000,32,25,53,57,68,6,3946,"0,000%","30,88612","39,92","0,00"
