Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,27000,650,590,1214,1460,2513,1,16465,"0,000%","340,45773","660,83","0,00"
/P1-base/procesapago,27000,672,604,1224,1480,2523,4,16282,"0,000%","337,07444","412,98","0,00"
Total,54000,661,597,1219,1470,2517,1,16465,"0,000%","656,29558","1038,98","0,00"
